starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	0
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	1	0
Mon Mar 20 23:31:22 2023	1679342482	1	1	2	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	2	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	2	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	2	1
Mon Mar 20 23:31:22 2023	1679342482	0	1	2	1
Mon Mar 20 23:31:22 2023	1679342482	0	2	2	1
Mon Mar 20 23:31:22 2023	1679342482	1	1	2	1
