starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 20 23:30:31 2023	1679342431	0	0	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	1	1	1	0
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	1	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	1	2	1
Mon Mar 20 23:30:31 2023	1679342431	2	1	2	0
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	1
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	2	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	1	3	1
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	3
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	3
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	3	3
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	2	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	3	3	2
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	2
Mon Mar 20 23:30:31 2023	1679342431	0	3	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	2
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	2
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	2
Mon Mar 20 23:30:31 2023	1679342431	1	3	4	2
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	4
Mon Mar 20 23:30:31 2023	1679342431	1	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	4
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	3
Mon Mar 20 23:30:31 2023	1679342431	1	4	4	4
Mon Mar 20 23:30:31 2023	1679342431	0	4	4	4
Mon Mar 20 23:30:31 2023	1679342431	0	4	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	4	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	2
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	3
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	2	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	1	5	5	4
Mon Mar 20 23:30:31 2023	1679342431	2	3	5	3
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	1	4	5	4
Mon Mar 20 23:30:31 2023	1679342431	1	5	5	4
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	0	5	5	5
Mon Mar 20 23:30:31 2023	1679342431	2	4	5	3
Mon Mar 20 23:30:31 2023	1679342431	0	5	6	4
Mon Mar 20 23:30:31 2023	1679342431	0	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	3
Mon Mar 20 23:30:31 2023	1679342431	0	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	4
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	3
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	2	4	6	3
Mon Mar 20 23:30:31 2023	1679342431	2	4	6	3
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	1	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	4
Mon Mar 20 23:30:31 2023	1679342431	1	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	2	5	6	3
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	2	5	6	3
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	1	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	0	6	6	6
Mon Mar 20 23:30:31 2023	1679342431	2	5	6	5
Mon Mar 20 23:30:31 2023	1679342431	1	6	6	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	0	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	1	5	7	5
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	2	5	7	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	0	6	7	4
Mon Mar 20 23:30:31 2023	1679342431	0	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	2	5	7	4
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	4
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	2	5	7	4
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	2	5	7	4
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	4
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	2	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	7
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	6
Mon Mar 20 23:30:31 2023	1679342431	1	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	6
Mon Mar 20 23:30:31 2023	1679342431	2	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	7	7
Mon Mar 20 23:30:31 2023	1679342431	1	6	7	5
Mon Mar 20 23:30:31 2023	1679342431	0	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	1	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	0	8	8	6
Mon Mar 20 23:30:31 2023	1679342431	1	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	0	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	1	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	1	7	8	6
Mon Mar 20 23:30:31 2023	1679342431	0	8	8	7
Mon Mar 20 23:30:31 2023	1679342431	2	6	8	6
Mon Mar 20 23:30:31 2023	1679342431	1	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	1	7	8	7
Mon Mar 20 23:30:31 2023	1679342431	0	8	8	8
Mon Mar 20 23:30:31 2023	1679342431	0	8	8	8
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	7
Mon Mar 20 23:30:31 2023	1679342431	2	6	9	6
Mon Mar 20 23:30:31 2023	1679342431	1	7	9	5
Mon Mar 20 23:30:31 2023	1679342431	0	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	3	5	9	4
Mon Mar 20 23:30:31 2023	1679342431	0	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	7
Mon Mar 20 23:30:31 2023	1679342431	1	7	9	5
Mon Mar 20 23:30:31 2023	1679342431	1	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	4	5	9	4
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
